A_0,R_0,T_0,r
1.210499787,0.414779821,449.3622759,0.061806126
0.976249774,0.83304651,506.0842426,-0.042713366
1.408901399,1.390542594,484.682167,-0.021345105
0.636109265,1.570692022,466.7413109,-0.082514424
1.159768495,0.750412764,508.8554848,0.023175064
0.358955014,1.582670151,509.3606753,-0.487402626
0.134919997,0.869778524,447.4510566,-0.032158539
0.742563046,1.59498227,420.2792583,-0.001834473
1.988611006,0.393152984,449.8466557,0.117404642
1.352622585,0.977636244,481.7131646,0.043430479
0.66938407,1.062858983,432.1571904,0.001764982
0.158985199,0.538235297,495.4830298,-0.099224138
1.291355287,1.964639892,501.3517809,-0.28531977
0.782991406,0.0080818,466.1564652,0.079419338
1.524446195,0.863965359,490.1372054,0.087891107
0.301708312,0.778772303,519.32941,-0.28550917
1.493944204,1.868139812,496.4732424,-0.169635346
1.34820689,0.538705508,516.3468196,0.153303358
0.627527345,0.830040231,437.2152441,0.005111417
0.309230828,0.798109074,437.8679417,-0.010215716
0.908490099,1.838406853,457.2682029,-0.048940707
0.859437779,0.587595389,511.8994077,-0.000544041
1.52927695,1.428726183,491.892524,-0.033460045
0.704450895,0.391824449,435.7013633,0.022206686
0.961607115,1.711594946,431.9078199,-0.002089542
0.695741783,1.309836887,495.0894447,-0.178835188
1.030566148,0.709047222,510.3666776,0.001637866
0.453297769,1.189534689,476.2070142,-0.096851938
1.028715586,1.580592039,476.518816,-0.075093487
0.686766924,1.745165933,421.7834597,-0.006850568
0.676145325,0.764087099,504.5254293,-0.085268032
0.392203872,0.067159021,413.683775,0.00941219
0.135862033,1.084900877,486.8623656,-0.178160756
0.884117615,1.840398333,462.0037124,-0.065286772
0.682832438,0.699243291,426.6296731,0.011260904
1.254711328,0.164890432,509.5201902,0.261354555
0.843655252,0.86306907,455.295799,0.012418609
0.494597485,0.233658955,450.2333919,0.022356738
0.174713137,1.750231205,505.9003472,-0.537030046
1.930962007,1.095356637,426.175191,0.049588291
0.583850099,0.755574456,421.8093304,0.006455576
0.22997883,0.418389764,430.5490291,-0.000516824
0.673803098,1.867357476,415.159795,-0.005355219
1.684010409,1.052222686,418.7548868,0.035205641
1.72874344,1.369245833,413.1882945,0.028437101
0.910779516,0.044295358,443.6776445,0.052157235
0.7599113,1.429625512,448.8349097,-0.019617629
1.447126285,0.638368571,416.85407,0.032611275
1.42125233,1.771818736,502.9000958,-0.215784731
1.061355247,1.982194287,457.9952974,-0.047985507
1.432636613,0.365468026,474.0210844,0.131153313
1.371983896,0.413591356,481.758892,0.13451837
0.876719438,1.932476115,402.331044,0.002473207
0.395321618,1.502230162,420.3122227,-0.011330091
0.725911285,0.114496192,421.5979209,0.02182945
0.296440561,1.75603171,497.4548526,-0.390894553
0.50377145,1.065362432,409.1695444,0.001118671
0.328405494,0.662775949,451.9357478,-0.012955902
0.15311442,1.853286355,405.2137481,-0.011944058
0.308453688,0.926288955,463.3016343,-0.04813324
0.805170049,0.541302805,460.9720141,0.031205498
0.163818478,1.707396425,455.5774726,-0.095571829
1.986674849,0.155038863,500.2793306,0.381437059
1.016499699,0.338553119,429.7651744,0.033756562
0.99783038,1.893047963,515.2655011,-0.535205282
0.500994962,1.521201274,500.0470653,-0.315816518
0.781417323,0.854397052,518.8093088,-0.170267612
1.397772996,1.328103152,486.9814939,-0.018897585
0.617049418,0.613833539,424.7662682,0.010324714
0.427794109,1.319570259,467.7143455,-0.083649673
0.740637732,1.515086336,514.5401269,-0.43442328
0.44928202,0.563597021,454.6510637,0.000337612
0.721625243,1.2146802,400.8471984,0.004679961
0.157469589,0.5602744,439.958877,-0.01131646
0.696729141,1.914851618,469.6795498,-0.123003122
0.434259813,1.737703829,519.9745248,-0.724721965
1.743267109,0.091378882,408.895574,0.038479191
0.639163453,0.403128187,512.2378305,0.012499628
0.600089841,0.592029163,409.139744,0.007904431
1.94334752,1.962372201,516.2633552,-0.308222673
0.241287159,1.433510701,427.898632,-0.021814967
0.924675328,1.219533068,516.8840881,-0.280642218
1.99847249,1.620131756,471.3589411,0.051002088
1.30628024,0.073476417,505.9126577,0.288110517
0.554184214,0.087053678,400.3618538,0.009060692
1.474013093,1.039484977,407.8219851,0.022716283
1.929810743,1.016821148,433.0614081,0.059252322
0.581157974,1.71943822,437.6360197,-0.026014449
0.976388016,1.223404188,472.5593279,-0.025464186
1.312159238,1.159264353,492.6444105,-0.016526059
1.308684777,0.218440347,440.2901343,0.063242614
0.496660378,1.994731464,454.6133331,-0.08386435
1.257689996,0.547976407,447.0736364,0.05578675
0.84229685,0.101981502,416.236379,0.022270551
1.071012153,0.184677207,486.2988861,0.138024367
1.95883639,1.838473546,440.5340481,0.040615959
1.145118183,1.677236196,445.0290961,-0.001820528
1.374628056,1.095070104,444.0965657,0.036929896
1.008836146,1.210853109,481.3524558,-0.041843159
1.975713954,0.487617378,429.9172411,0.069883266
1.659537857,0.851527993,413.7077449,0.03310546
1.308575124,0.741109514,465.2669989,0.064663333
1.937853063,1.759512477,514.4256165,-0.198718138
