A_0,R_0,T_0,r
0.434635897,1.406034225,519.2460257,-0.548130328
1.906227542,1.928983112,499.2338357,-0.123573829
1.222106194,1.491607586,503.8545487,-0.183630833
0.121553451,1.357273367,495.1448379,-0.301173065
1.69903732,1.681824991,462.1470742,0.022987311
1.908566802,1.336780307,477.8942333,0.070369364
0.989980362,0.759950345,461.704796,0.031100439
1.275935028,0.435158195,505.4473506,0.16038272
0.520012798,0.940706369,455.4978103,-0.018318603
1.940334465,0.105049638,493.876472,0.339998599
1.708892403,0.517408325,508.9322128,0.246542737
0.226413189,1.671720202,518.9932094,-0.735962246
0.553606937,1.924259496,410.7693227,-0.006864118
0.617399425,1.011840555,414.4169919,0.004006978
0.233041881,0.754637407,439.0962319,-0.01350974
1.57120775,1.888528356,481.5021258,-0.066273661
0.784333686,1.505543137,510.8812024,-0.369213235
0.600441714,0.781825853,513.306645,-0.154935246
0.594392668,1.359412973,503.3092406,-0.281289743
1.666316941,0.036944141,413.682361,0.042937702
0.238633739,0.608805982,410.5428091,-0.000630077
0.530458324,0.637062094,518.549821,-0.14151056
0.900654562,0.779413012,435.398697,0.020004808
1.704807413,0.866699127,460.6248294,0.087207089
0.227253862,1.805461547,437.0317528,-0.045527734
0.67702276,0.180902196,403.0325076,0.011451927
1.252796711,0.299348694,500.4706005,0.184708551
1.445402807,0.465184805,518.3781371,0.218794766
0.903778856,1.710911184,502.8446202,-0.313328848
0.842519346,1.806665884,475.1814267,-0.121807269
0.488478996,0.067231379,425.46689,0.016486883
0.404213193,0.177659626,484.5641553,0.031913231
1.952347096,0.53007059,472.378814,0.169645264
1.574193936,0.453859996,517.1994437,0.259837114
1.871689126,0.116686383,457.5507932,0.148446639
1.306092876,0.373722311,469.4866996,0.105524054
0.820771422,1.344330007,479.058271,-0.080283754
1.049488495,0.092736504,519.1580608,0.278627083
1.220961932,0.320601875,515.5400611,0.211480287
0.263316174,0.995322653,400.5525738,-0.001900588
1.303176234,1.192876396,402.2651968,0.01557628
1.50920692,0.313451489,461.6900585,0.114364808
0.184713482,1.186026931,458.3107696,-0.067572341
1.840279438,0.772340188,470.1474323,0.124389742
1.96044968,0.882698025,435.0713593,0.067093878
1.903361775,1.444852284,427.3207285,0.042324858
1.809963584,1.069647556,445.3561032,0.065401692
1.643969061,1.047127316,488.5709793,0.07224098
0.733329297,1.766893578,444.6177253,-0.03021185
0.214762915,1.304125755,439.1075683,-0.033257388
1.754723355,1.620981462,458.7011011,0.035299966
1.229917478,0.83942709,453.1083054,0.043484663
0.258323078,1.056297293,494.4142307,-0.1979621
1.670281971,0.970551937,451.4728971,0.067264504
0.211120649,0.683707516,487.7719464,-0.094974881
1.005449693,0.299644023,512.3871438,0.15298062
1.228451343,1.562913621,479.7948737,-0.058536367
1.371335752,1.867336929,454.253171,-0.007388655
0.464868967,0.224887506,438.03616,0.016431489
0.156517581,1.095264922,443.1701221,-0.034662681
1.802622617,1.718794312,518.9573816,-0.273788947
1.782516908,0.836323694,411.6298233,0.034599431
0.879021707,0.484581092,424.9799977,0.022268696
1.738881659,1.914189187,468.3027758,-0.003973052
0.694443258,1.586041676,456.6927506,-0.048222989
1.752837532,1.638031158,423.1156865,0.030617397
1.130638604,1.656672874,507.5994949,-0.296427245
0.817824691,0.972169338,413.0159639,0.009661687
0.579612025,1.773003753,406.0190483,-0.002932546
0.228915086,0.94287651,515.4969133,-0.345785049
1.601664102,1.361640968,467.212405,0.037161091
1.035085172,1.84511885,420.1070357,0.003479924
0.104813769,0.87314175,415.1698129,-0.008223124
0.254838037,1.288329044,472.3068791,-0.117378614
1.94571001,1.189460686,518.0601596,0.029258676
0.745409434,0.802340795,406.0667629,0.008676673
0.796086985,1.655427311,481.5024934,-0.142040192
1.909743998,1.847801653,494.2291048,-0.068558921
1.178670661,1.152028085,437.7091488,0.02256521
0.507120638,0.059567746,424.9236803,0.017066316
1.648022415,1.91888316,486.3770358,-0.084297295
0.124863006,0.526424723,473.898704,-0.048304834
1.050841694,1.888561412,482.2063683,-0.145895315
0.186325456,0.003784286,432.126402,0.008054325
1.334256058,1.780197706,459.9934643,-0.014572942
1.420356663,0.889818774,416.4084506,0.028127308
0.185477455,0.296451578,470.3811622,-0.010847069
0.825528019,1.898229665,457.4573885,-0.060440474
0.444566288,0.164913173,401.2540768,0.006826166
1.970801595,1.532116107,433.969413,0.047886693
0.574548612,1.855085269,420.1120184,-0.011120045
0.11278628,1.543259309,415.3280297,-0.016626572
0.920949462,1.640960661,485.2252395,-0.143218606
0.572042355,1.849282385,435.9414419,-0.028062902
1.983036741,1.827693569,517.9864055,-0.2581081
0.126748714,1.746456507,514.6593934,-0.708642819
0.416730906,0.242909424,423.1424716,0.009899564
0.620776408,0.85692291,499.1315384,-0.1017699
1.009168628,0.519887144,518.0781459,0.060707012
0.524129618,1.105917837,400.0499537,0.001959267
1.909557334,1.467991914,448.1846782,0.055754661
1.638017868,1.264418332,404.9979042,0.02269255
1.755239722,0.76344451,509.9334175,0.169948463
1.377152433,1.808193985,490.9913318,-0.136663223
0.205030434,1.302649939,451.0388122,-0.055528385
0.14947701,1.657308785,504.43153,-0.490050856
1.557392039,1.032804166,517.25446,-0.010659946
1.160649101,1.290920597,510.6267271,-0.185852678
0.139014586,0.94499087,426.4441669,-0.014173588
0.375082774,0.702078626,441.5124585,-0.005325645
0.91175714,0.140736861,480.5281451,0.107763014
1.74570737,0.998372965,460.5667122,0.080781491
1.089174679,1.107345371,421.419265,0.017058587
1.874239313,0.549529916,465.8771142,0.14022991
0.184188644,0.107871163,501.5723997,0.009054898
1.415260812,0.293161259,469.9544379,0.127151304
0.512647884,1.344600978,468.5662979,-0.079932967
0.201691753,0.201936648,422.1827177,0.003243586
1.346808009,1.972850432,456.0824234,-0.019198742
1.711947459,1.377413044,405.4628201,0.023521176
1.235638498,0.926281204,507.3845482,-0.015814946
1.076451956,1.043417838,450.1529988,0.020717331
0.369062138,1.484031367,504.898403,-0.389931994
1.213222389,0.589912381,496.4290303,0.093190968
1.016838121,1.280773133,462.5514882,-0.008900177
0.301941149,0.420745089,422.453289,0.002817966
1.055276632,0.589607454,445.1199998,0.03945162
1.830718971,0.135313251,425.9913694,0.065007108
0.598904106,0.242437643,455.7109065,0.032378335
1.040136262,1.55389078,413.5838525,0.008618764
1.845011936,1.605694222,427.8922982,0.03697186
1.21879972,0.705105685,456.5453586,0.05295641
1.343703823,1.431273977,514.8051545,-0.231094146
1.65105786,0.302182419,497.7203655,0.257038566
1.418144281,1.941692252,452.6314825,-0.00573896
0.3954547,1.394656472,519.424457,-0.557688249
1.482302048,0.092173151,464.2341793,0.137146104
