A_0,R_0,T_0,r
1.143180142,1.365093832,407.339149,0.012417677
1.73490327,1.987715068,442.7185912,0.022148646
0.367940447,1.13124039,424.2253688,-0.008190503
0.388531664,1.462479256,409.2591663,-0.00539562
0.500089286,0.808010032,466.5929178,-0.024294204
1.814290002,0.181299647,442.0077447,0.096052943
0.789549953,0.224796523,427.6446132,0.025730403
0.706573382,0.961660375,444.5479844,0.002247384
1.472523092,1.382914805,438.0836689,0.030086655
1.005449693,0.299644023,512.3871438,0.15298062
0.43091545,0.202380122,461.9259912,0.023798043
0.895891001,1.681346237,443.5225579,-0.015308052
0.142132583,1.07736321,417.1971196,-0.010825995
0.645937773,0.745534784,449.4677317,0.006428488
0.97724984,1.198169939,455.1250827,0.002037318
0.517158944,0.201739245,455.3953907,0.028277394
0.31844748,0.356257091,403.5969155,0.003434227
1.668541876,0.518470783,487.0562418,0.175248328
1.143758045,0.146269749,425.2967502,0.038646589
1.18070327,1.789046955,435.041858,0.003790588
1.773804311,1.555066417,436.5944518,0.039299386
0.473915249,1.307824226,479.7527042,-0.125879206
1.500889188,0.798687501,492.1985756,0.097720635
0.469070815,1.716095462,476.946859,-0.168073564
0.814104505,1.160904034,452.9208392,-0.00621606
1.249065105,1.057124893,475.3020332,0.02364345
1.789986944,1.761783358,471.6908542,0.010604244
0.742132988,1.062202079,446.2808007,-0.000871653
1.145022727,0.480933093,501.158455,0.111086537
1.154658295,0.595820127,491.265559,0.078951837
1.726889503,1.379647485,466.0811331,0.048992945
1.876269268,1.751640181,426.4925093,0.034388192
0.354574258,1.269748799,513.7596571,-0.428867459
1.996121979,1.531483841,455.6401139,0.061643627
1.094287773,1.310723909,469.8891388,-0.01605773
1.670553927,1.050579079,519.8354431,0.003210461
0.405487518,0.26176038,404.7768703,0.0059954
1.787305569,1.005379281,450.7379634,0.072952099
0.797607116,1.874557674,465.5759464,-0.089659723
0.68895146,1.02532799,445.6499225,-0.002174859
1.617081026,1.913868341,445.8129196,0.016461499
1.754926972,1.101479987,519.4790075,0.006198698
0.776249695,1.268457976,418.2009443,0.004692879
0.419570579,1.398581314,453.3375132,-0.050326771
0.151622173,0.64307718,486.0661886,-0.0915218
0.813099183,0.312569427,485.9160925,0.073180665
1.885117409,1.138360693,438.0609171,0.059240358
1.565613949,0.260879098,474.0188938,0.160111299
0.530510791,0.230603132,435.7564164,0.018671849
1.737227334,1.996307966,454.5523145,0.01267469
0.253980429,1.879689075,429.0752099,-0.032743302
